enrollment_id,student_id,course_id,term,status,midterm_score,final_score,project_score,attendance_pct,first_name,last_name,program,year,age,active,entry_term,gpa,credits_completed,advisor,department,course_number,course_title,credits,level,delivery,_merge
E5050,S1025,C102,Fall 2025,Completed,80,79.0,64.0,79.7,Chloe,Baker,Data Science,4th,19.0,Yes,Spring 2024,3.85,84.0,Dr. Moreno,STA,270.0,Applied Statistics,3.0,Undergraduate,Hybrid,both
E5051,S1025,C106,Fall 2025,Completed,92,58.0,75.0,87.6,Chloe,Baker,Data Science,4th,19.0,Yes,Spring 2024,3.85,84.0,Dr. Moreno,STA,556.0,Statistics and Data Science Computing Workflows,3.0,Graduate,In Person,both
E5052,S1026,C104,Fall 2026,Enrolled,70,63.0,68.0,90.7,Isaac,Adams,Statistics,4th,23.0,Yes,Fall 2024,3.29,36.0,,MAT,239.0,Linear Algebra,3.0,Undergraduate,In Person,both
E5053,S1027,C107,Fall 2026,Enrolled,87,64.0,94.0,77.3,Elena,Nelson,Computer Science,2nd,27.0,Yes,Fall 2024,3.45,36.0,Dr. Kim,CS,345.0,Databases,3.0,Undergraduate,Online,both
E5054,S1028,C107,Fall 2025,Completed,85,98.0,88.0,72.1,Caleb,Hill,Mathematics,1st,20.0,No,Spring 2026,3.79,108.0,Dr. Reed,CS,345.0,Databases,3.0,Undergraduate,Online,both
E5055,S1028,C105,Spring 2026,Completed,73,95.0,85.0,91.9,Caleb,Hill,Mathematics,1st,20.0,No,Spring 2026,3.79,108.0,Dr. Reed,STA,444.0,Statistical Computing,3.0,Undergraduate,Online,both
E5056,S1029,C104,Spring 2026,Completed,88,57.0,85.0,80.3,Aria,Campbell,Data Science,2nd,,Yes,Spring 2025,2.58,54.0,Dr. Moreno,MAT,239.0,Linear Algebra,3.0,Undergraduate,In Person,both
E5057,S1029,C108,Fall 2026,Enrolled,73,62.0,78.0,94.2,Aria,Campbell,Data Science,2nd,,Yes,Spring 2025,2.58,54.0,Dr. Moreno,MAT,442.0,Probability,3.0,Undergraduate,Hybrid,both
E5058,S9999,C106,Fall 2026,Enrolled,84,88.0,91.0,94.0,,,,,,,,,,,STA,556.0,Statistics and Data Science Computing Workflows,3.0,Graduate,In Person,both
E5059,S1008,C999,Fall 2026,Enrolled,79,82.0,86.0,89.0,Lucas,Wilson,Data Science,4th,27.0,Yes,Spring 2024,2.89,45.0,Dr. Shah,,,,,,,left_only
